ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,percent_change,change,month
7/31/2023,-74.39273869,-782.448195,641.3506406,-251.1181174,96.38499474,0.405316515,0.405316515,0.405316515,0.405316515,0.405316515,0.405316515,0,0,0,-104.5453442,614.1580845,Decrease,2023-07
8/31/2023,-173.0034656,-931.3726003,504.20753,-381.516711,32.11826375,0.260996332,0.260996332,0.260996332,0.260996332,0.260996332,0.260996332,0,0,0,-218.1567354,108.6718801,Decrease,2023-08
9/30/2023,-268.4332012,-981.3245442,450.1709755,-508.7133032,-27.66874552,0.087437384,0.087437384,0.087437384,0.087437384,0.087437384,0.087437384,0,0,0,-291.9042982,33.80485259,Decrease,2023-09
10/31/2023,-367.0439281,-1145.978829,266.5145561,-648.1005971,-86.59227848,0.081779437,0.081779437,0.081779437,0.081779437,0.081779437,0.081779437,0,0,0,-397.0605739,36.02422996,Decrease,2023-10
11/30/2023,-462.4736638,-1325.523735,208.4766361,-779.3931944,-141.2211691,0.218663199,0.218663199,0.218663199,0.218663199,0.218663199,0.218663199,0,0,0,-563.5996347,41.94298598,Decrease,2023-11
12/31/2023,-561.0843906,-2191.172954,-159.1465939,-916.0981659,-206.2336603,1.03796101,1.03796101,1.03796101,1.03796101,1.03796101,1.03796101,0,0,0,-1143.468111,102.8865956,Decrease,2023-12
1/31/2024,-659.6951175,-1295.83348,176.8881356,-1057.555373,-271.6371648,-0.137672445,-0.137672445,-0.137672445,-0.137672445,-0.137672445,-0.137672445,0,0,0,-568.873278,50.2501843,Increase,2024-01
2/29/2024,-751.943862,-1036.676298,344.3352792,-1197.764098,-333.8491435,-0.582548134,-0.582548134,-0.582548134,-0.582548134,-0.582548134,-0.582548134,0,0,0,-313.9003684,44.82068669,Increase,2024-02
3/31/2024,-850.5545889,-1123.699463,278.0269252,-1342.471937,-384.6476277,-0.503447073,-0.503447073,-0.503447073,-0.503447073,-0.503447073,-0.503447073,0,0,0,-422.3453711,34.54758694,Decrease,2024-03
4/30/2024,-945.9843245,-1319.328755,154.263045,-1481.808832,-437.0072004,-0.367701969,-0.367701969,-0.367701969,-0.367701969,-0.367701969,-0.367701969,0,0,0,-598.1440259,41.624383,Decrease,2024-04
5/31/2024,-1044.595051,-1331.172898,190.5737765,-1622.130132,-491.6270889,-0.417196496,-0.417196496,-0.417196496,-0.417196496,-0.417196496,-0.417196496,0,0,0,-608.7936563,1.780445839,Decrease,2024-05
6/30/2024,-1140.024787,-1809.364881,-116.4177699,-1765.747287,-543.446537,-0.169756331,-0.169756331,-0.169756331,-0.169756331,-0.169756331,-0.169756331,0,0,0,-946.4983622,55.47112759,Decrease,2024-06
